id	gasoil	sp95	sp95e10	sp98	gpl	brand	name	address
3110002	1.420	1.590				        Avia	        STATION SERVICE AVIA	Lieu-Dit Village des Combes 03110 BROÛT-VERNET
3120001								
3120002								
3120003								
3120004	1.410		1.530	1.610		        Indépendant sans enseigne	        Aire des verites	zac les pres de la grand route 03120 LAPALISSE
3120005	1.340	1.510		1.530		        Indépendant sans enseigne	        LAPALISSE ESSENCE	1 Avenue du 8 Mai 1945 03120 LAPALISSE
3130002	1.450	1.630		1.650		        Dyneff	        STATION DONJONNAISE	11 Avenue Préveraud 03130 LE DONJON
3150001	1.459	1.629				        Total	        Relais Lagarde Varennes	66, avenue de Chazeuil 03150 VARENNES-SUR-ALLIER
3150002	1.460		1.630	1.710		        Total	        SA ETS MUET	37 AVENUE DE LYON 03150 VARENNES-SUR-ALLIER
3150004	1.339	1.510				        Casino	        CASINO SUPERMARCHE	90 Avenue de Chazeuil 03150 VARENNES-SUR-ALLIER
3150005	1.335	1.499		1.525		        Carrefour Market	        Carrefour Market	98 avenue de Chazeuil 03150 VARENNES-SUR-ALLIER
3150006	1.460	1.640		1.660		        Avia	        RELAIS DU VAL D&#039;ALLIER	11 AV DE CHAZEUIL 03150 VARENNES-SUR-ALLIER
3160001								
3170001	1.459		1.589	1.649	0.930	        Avia	        Avia	A71 aire de l#039;Allier Doyet(sens paris province) 03170 DOYET
3190002	1.348	1.499		1.529		        Carrefour Contact	        Carrefour Contact	Route de Montluçon 03190 VALLON-EN-SULLY
3200001	1.459	1.629		1.649		        Total	        Relais Total des Ailes	13 Allée des Ailes 03200 VICHY
3200002								
3200003								
3200005	1.303	1.478		1.508	0.789	        CORA	        CORA VICHY	Allée des ailes 03200 VICHY
3210001								
3250001	1.470	1.640				        Total	        Mayet De Montagne	Route de Vichy D 62 03250 LE MAYET-DE-MONTAGNE
3250002	1.329	1.489				        Intermarché	        INTERMARCHE LE MAYET DE MONTAGNE	Route des Ferrières 03250 LE MAYET-DE-MONTAGNE
3260001	1.347	1.539				        Ecomarché	        SAS MARYAN ECOMARCHE	8 RUE PIERRE SEMARD 03260 SAINT GERMAIN DES FOSSES
3270001	1.303	1.478		1.508		        Carrefour Market	        Carrefour Market	3 RUE DU BOIS DES JARRAUX 03270 SAINT-YORRE
3286001								
3290001	1.310	1.489		1.549		        Atac	        ATAC DOMPIERRE  SUR BESBRE	la chapelle 03290 DOMPIERRE-SUR-BESBRE
3290002								
3300001								
3300002	1.459	1.629		1.649		        Total	        Relais Lagarde Cusset	24 Rue de la République 03300 CUSSET
3300003	1.303	1.478		1.508		        Carrefour	        CARREFOUR	rue des peupliers 03300 CUSSET
3310001	1.480	1.650		1.670		        Total	        Néris Les Bains	2, route de Clermont 03310 NÉRIS-LES-BAINS
3320001	1.339	1.527		1.551		        Atac	        ATAC LURCY LEVIS	ROUTE DE MOULINS 03320 LURCY-LÉVIS
3350001								
3360001								
3380001	1.420		1.530	1.610		        Total	        MME CARTERON COLETTE	RELAIS DES TARTASSES 03380 LA CHAPELAUDE
3380002								
3390001	1.345	1.499		1.529		        Carrefour Market	        Carrefour Market	ROUTE DE MOULINS 03390 MONTMARAULT
3400001	1.459	1.629		1.649	0.890	        Total	        Relais Lagarde Yzeure	28, route de Lyon 03400 YZEURE
3400002	1.320	1.480		1.650		        Carrefour Market	        Carrefour Market	Route de Montbeugny 03400 YZEURE
3400003								
3410001	1.329	1.479	1.449	1.509	0.814	        Auchan	        AUCHAN  CARBURANT MONTLUCON-DOMERAT	65 Avenue des Martyrs 03410 MONTLUCON-DOMERAT
3410004								
3410005	1.339	1.489		1.519		        Simply Market	        Lor Station	Boulevard Victor Hugo 03410 DOMÉRAT
3410007	1.336		1.469	1.549		        Esso Express	        ESSO EXPRESS DOMERAT TERRE NEUVE	Route de Limoges 03410 DOMÉRAT
3430001	1.339	1.489		1.519		        Carrefour Market	        Carrefour Market	Route de Hérisson 03430 COSNE-D&#039;ALLIER
3430002								
3450001								
3500001	1.470	1.640		1.660	0.890	        Total	        Relais Total des Beaumenus	RN9 03500 SAINT-POURÇAIN-SUR-SIOULE
3500002								
3500003	1.470	1.640		1.660		        Total	        Relais Total Lagarde de la Sioule	Quartier Tivoli 03500 SAINT-POURÇAIN-SUR-SIOULE
3500004	1.479	1.648		1.659		        Avia	        RELAIS PARIS PYRENEES	4 RUE ARMAND QUEROY 03500 SAULCET
3600001								
3600003	1.329	1.489	1.475	1.589		        Intermarché	        INTERMARCHE COMMENTRY MALICORNE	LA BRANDE MALICORNE 03600 COMMENTRY
3630001	1.329	1.479		1.519		        Carrefour Market	        Carrefour Market	31 Rue de la République 03630 DÉSERTINES
3630002	1.329		1.459	1.509		        Total Access	        Relais  TOTAL ACCESS Du Chatelard	12 Rue Ambroise Croizat 03630 DÉSERTINES
3700002	1.459	1.629		1.649	0.890	        Total	        Relais Lagarde Bellerive	22 avenue de la République 03700 BELLERIVE-SUR-ALLIER
3700003	1.460	1.630				        Total	        DAC Total Lagarde Bellerive/Allier	15, avenue de la république 03700 BELLERIVE-SUR-ALLIER
3700004	1.303	1.478		1.508		        Leclerc	        BELLERIVEDIS	Avenue du General de Gaulle 03700 BELLERIVE-SUR-ALLIER
3800001	1.318	1.479		1.521		        Carrefour Market	        Carrefour Market	Avenue des Portes Occitanes 03800 GANNAT
3800003	1.318		1.463	1.521		        Simply Market	        SIMPLY MARKET	Avenue de la Gare 03800 GANNAT
3800004	1.469	1.639		1.659		        Total	        Relais Lagarde Gannat MENDES FRANCE	6 Avenue P.Mendes france 03800 GANNAT
3800005								
3800006	1.318	1.479		1.529	0.819	        Intermarché	        SA SAIVE	12 avenue des Portes Occitanes 03800 GANNAT
4000001	1.289	1.445		1.489	0.869	        Carrefour	        CARREFOUR DIGNE	ROUTE DE MARSEILLE 04000 DIGNE-LES-BAINS
4000003								
4000004								
4100001	1.349	1.519	1.477			        Système U	        U EXPRESS	9 avenue des Plantiers BP201 04204 SISTERON
4100002								
4100003	1.380		1.530	1.610		        Total	        RELAIS DES PONCHES	214 Avenue Frédéric Mistral 04100 MANOSQUE
4100007	1.280	1.439		1.474	0.850	        Leclerc	        SAS SODIALPES	Route de Volx 04100 MANOSQUE
4100008	1.278		1.418	1.476	0.853	        Total Access	        TOTAL ACCESS PLANTIERS	RN 96 04100 MANOSQUE
4103001	1.281	1.442		1.479		        Système U	        HYPER U	ZI St JosephBP335 04100 MANOSQUE
4120001	1.400	1.570		1.600		        Avia	        SARL REL. GORGES	BD.ST MICHEL 04120 CASTELLANE
4120002								
4120003	1.340		1.440	1.540		        Casino	        CASINO SUPERMARCHE	Route Digne 04120 CASTELLANE
4130002	1.464		1.584	1.664		        Total	        RELAIS  TOTAL DE MANOSQUE	AUTOROUTE A51 AIRE DE MANOSQUE EST 04130 VOLX
4130003	1.464		1.584	1.664		        Total	        RELAIS TOTAL DE VOLX	AUTOROUTE A51 AIRE DE VOLX OUEST 04130 VOLX
4140001								
4160001								
4160002	1.430	1.620				        Total	        SARL SNEGP - AGENT PEUGEOT	70 Avenue du Général de Gaulle 04160 CHÂTEAU-ARNOUX-SAINT-AUBAN
4160003								
4170001	1.460		1.680			        Total	        SARL MV COMBUSTILES	Route de Nice 04170 SAINT-ANDRÉ-LES-ALPES
4170002								
4190001	1.329	1.489		1.519		        Intermarché	        INTERMARCHE LES MEES	Rue de l&#039;Anonciade 04190 LES MÉES
4200001								
4200003	1.305		1.445	1.519	0.850	        Intermarché	        INTERMARCHE PEIPIN	route de Sisteron 04200 PEIPIN
4200006	1.464		1.584	1.624	0.930	        Avia	        Aire aubignosc	aire aubignosc 04200 AUBIGNOSC
4204001								
4210003	1.390	1.550		1.720		        Carrefour	        CARREFOUR EXPRESS	Chemin du Riou 04210 VALENSOLE
4240001	1.390	1.550				        Indépendant sans enseigne	        GARAGE PELLEGRIN STATION	Avenue du Foulon 04240 ANNOT
4260001	1.495	1.709		1.745		        Shopi	        SARL TOP SERVICE	LE PONT DE BOUCHIER 04260 ALLOS
4300001	1.326	1.469		1.517		        Casino	        CASINO SUPERMARCHE	Quartier Beaudine Centre Commercial Les 3 Routes 04300 FORCALQUIER
4300002	1.330		1.475	1.525		        Intermarché	        INTERMARCHE FORCALQUIER	Avenue des Chalus 04300 FORCALQUIER
4320001								
4360001	1.450	1.600		1.630		        Elan	        GARAGE HONORAT	rue Frédéric Mistral 04360 MOUSTIERS-SAINTE-MARIE
4370001	1.560	1.760				        Total	        M.MICHEL BERAUD	RN208 04370 VILLARS-COLMARS
4400001	1.380	1.620	1.510	1.590		        Total	        SARL MICHAUD	27, avenue A. Signoret 04400 BARCELONNETTE
4400002	1.380	1.520				        Total	        SARL GARAGE DE RESTEFOND	49 Avenue des trois frères Arnaud 04400 BARCELONNETTE
4400003	1.359	1.517		1.568		        Indépendant sans enseigne	        STATION DU GRAVIER. SATA.	Place Aimé Gassier 04400 BARCELONNETTE
4400004	1.365	1.527		1.572	0.936	        Indépendant sans enseigne	        RELAIS DE TERRES NEUVES. SATA.	Terres Neuves. St Pons 04400 BARCELONNETTE
4500001								
4500003	1.347	1.511		1.539		        Intermarché	        INTERMARCHE RIEZ	Quartier Samson 04500 RIEZ
4510002								
4600001	1.346	1.528				        Indépendant sans enseigne	        M.ALAIN CARMONA	AGENT PEUGEOT 04600 CHÂTEAU-ARNOUX-SAINT-AUBAN
4700001								
4700002	1.379	1.539		1.579		        Intermarché	        INTERMARCHE ORAISON	route La Brillanne 04700 ORAISON
4700003	1.345	1.525		1.555		        Carrefour Market	        Carrefour Market	RN 96 CENTRE COMMERCIAL LE PLAN 04700 LA BRILLANNE
4800001								
5000001	1.283	1.437		1.507	0.840	        Géant	        GEANT CASINO	28 BOULEVARD D#039;ORIENT 05000 GAP
5000003								
5000005								
5000006								
5000008	1.327	1.493		1.523		        Intermarché	        INTERMARCHE GAP	10 Avenue du Commandant Dumont 05000 GAP
5000010								
5000012	1.480	1.680				        Avia	        Chevalier hourdoux gisele	135 quartier saint andre 05000 LA FREISSINOUSE
5100001	1.459	1.649				        Esso	        SNC ROLLAND JACK	9 Route de Gap 05100 BRIANÇON
